id_linha,pedido,data_hora_venda,data,sku,pecas_vendidas,valor_da_peca,preco_tabela_unit,desconto_pct,receita_bruta,receita_liquida,custo_unitario,cmv,valor_do_frete,frete_cobrado_cliente,impostos_sobre_venda,lucro,total,canal,tipo_cliente,cliente_id,uf,regiao,modalidade_frete,peso_total_kg
11009,PV-483315,2026-06-11 13:10:09,2026-06-11,AC-8010,5,47.35,51.03,0.0722,255.15,236.75,18.9,94.5,12.71,15.33,33.27,111.6,252.08,Representante,Marmoraria / Instalador,MAR-00086,SP,Sudeste,CIF (empresa entrega),4.5
11010,PV-483314,2026-06-11 13:10:58,2026-06-11,RD-2010,3,120.5,128.12,0.0595,384.36,361.5,62.5,187.5,29.54,34.22,46.69,131.99,395.72,E-commerce,Marmoraria / Instalador,MAR-00212,SC,Sul,CIF (empresa entrega),3.72
11011,PV-483314,2026-06-11 13:10:58,2026-06-11,PA-1020,1,74.81,81.69,0.0842,81.69,74.81,38.9,38.9,6.19,7.18,9.67,27.23,81.99,E-commerce,Marmoraria / Instalador,MAR-00212,SC,Sul,CIF (empresa entrega),0.78
11012,PV-483314,2026-06-11 13:10:58,2026-06-11,JD-4002-01,2,108.85,114.83,0.052,229.66,217.7,52.58,105.16,13.97,16.19,27.6,87.16,233.89,E-commerce,Marmoraria / Instalador,MAR-00212,SC,Sul,CIF (empresa entrega),1.76
11013,PV-483314,2026-06-11 13:10:58,2026-06-11,RG-5002,1,282.64,311.6,0.0929,311.6,282.64,152.0,152.0,19.45,22.54,36.01,97.72,305.18,E-commerce,Marmoraria / Instalador,MAR-00212,SC,Sul,CIF (empresa entrega),2.45
11014,PV-483351,2026-06-11 13:19:36,2026-06-11,PA-1011,2,67.71,67.73,0.0003,135.46,135.42,30.1,60.2,32.3,39.95,20.69,62.18,175.37,E-commerce,Consumidor Final,CON-01285,MT,Centro-Oeste,CIF (empresa entrega),1.22
11015,PV-483351,2026-06-11 13:19:36,2026-06-11,SP-6001-02,1,160.83,176.16,0.087,176.16,160.83,77.67,77.67,35.74,44.21,24.19,67.44,205.04,E-commerce,Consumidor Final,CON-01285,MT,Centro-Oeste,CIF (empresa entrega),1.35
11016,PV-483351,2026-06-11 13:19:36,2026-06-11,SP-6001-01,1,151.01,158.17,0.0453,158.17,151.01,72.42,72.42,35.74,44.21,23.04,64.02,195.22,E-commerce,Consumidor Final,CON-01285,MT,Centro-Oeste,CIF (empresa entrega),1.35
11017,PV-483295,2026-06-11 13:37:51,2026-06-11,ND-3001-01,1,109.64,111.89,0.0201,111.89,109.64,50.04,50.04,8.92,10.78,15.9,45.56,120.42,Balcao,Consumidor Final,CON-01188,SP,Sudeste,CIF (empresa entrega),0.92
11018,PV-483295,2026-06-11 13:37:51,2026-06-11,PA-1010-01,1,69.71,72.07,0.0328,72.07,69.71,30.8,30.8,5.34,6.44,10.05,29.96,76.15,Balcao,Consumidor Final,CON-01188,SP,Sudeste,CIF (empresa entrega),0.55
11019,PV-483295,2026-06-11 13:37:51,2026-06-11,AC-8001,2,94.48,98.43,0.0401,196.86,188.96,38.6,77.2,23.28,28.12,28.65,87.95,217.08,Balcao,Consumidor Final,CON-01188,SP,Sudeste,CIF (empresa entrega),2.4
11020,PV-483307,2026-06-11 13:42:27,2026-06-11,RD-2010,2,117.81,128.12,0.0805,256.24,235.62,62.5,125.0,22.67,27.34,34.71,80.58,262.96,Balcao,Marmoraria / Instalador,MAR-00202,SP,Sudeste,CIF (empresa entrega),2.48
11021,PV-483307,2026-06-11 13:42:27,2026-06-11,PA-1020-01,1,85.19,95.16,0.1047,95.16,85.19,43.57,43.57,7.13,8.6,12.38,30.71,93.79,Balcao,Marmoraria / Instalador,MAR-00202,SP,Sudeste,CIF (empresa entrega),0.78
11022,PV-483307,2026-06-11 13:42:27,2026-06-11,RD-2020,2,30.9,34.04,0.0924,68.08,61.8,14.8,29.6,9.51,11.47,9.67,24.49,73.27,Balcao,Marmoraria / Instalador,MAR-00202,SP,Sudeste,CIF (empresa entrega),1.04
11023,PV-483337,2026-06-11 13:55:33,2026-06-11,AC-8002,4,131.33,156.0,0.1581,624.0,525.32,62.4,249.6,0.0,0.0,61.99,213.73,525.32,Representante,Construtora,CON-00048,RS,Sul,FOB (cliente retira/contrata),8.4
11024,PV-483337,2026-06-11 13:55:33,2026-06-11,PA-1011,3,59.45,67.73,0.1223,203.19,178.35,30.1,90.3,0.0,0.0,21.05,67.0,178.35,Representante,Construtora,CON-00048,RS,Sul,FOB (cliente retira/contrata),1.83
11025,PV-483337,2026-06-11 13:55:33,2026-06-11,AC-8010,5,41.35,51.03,0.1897,255.15,206.75,18.9,94.5,0.0,0.0,24.4,87.85,206.75,Representante,Construtora,CON-00048,RS,Sul,FOB (cliente retira/contrata),4.5
11026,PV-483337,2026-06-11 13:55:33,2026-06-11,RD-2030-01,3,11.67,13.93,0.1624,41.79,35.01,4.96,14.88,0.0,0.0,4.13,16.0,35.01,Representante,Construtora,CON-00048,RS,Sul,FOB (cliente retira/contrata),0.24
11027,PV-483337,2026-06-11 13:55:33,2026-06-11,JD-4001,16,24.16,29.16,0.1715,466.56,386.56,11.9,190.4,0.0,0.0,45.61,150.55,386.56,Representante,Construtora,CON-00048,RS,Sul,FOB (cliente retira/contrata),4.48
11028,PV-483337,2026-06-11 13:55:33,2026-06-11,PA-1002,3,53.42,63.6,0.1601,190.8,160.26,31.8,95.4,0.0,0.0,18.91,45.95,160.26,Representante,Construtora,CON-00048,RS,Sul,FOB (cliente retira/contrata),2.82
11029,PV-483337,2026-06-11 13:55:33,2026-06-11,PA-1010-02,4,69.37,81.53,0.1492,326.12,277.48,33.55,134.2,0.0,0.0,32.74,110.54,277.48,Representante,Construtora,CON-00048,RS,Sul,FOB (cliente retira/contrata),2.2
11030,PV-483347,2026-06-11 14:00:08,2026-06-11,RD-2030-02,3,13.45,15.43,0.1286,46.29,40.35,5.29,15.87,0.0,0.0,4.76,19.72,40.35,E-commerce,Construtora,CON-00078,MG,Sudeste,FOB (cliente retira/contrata),0.24
11031,PV-483347,2026-06-11 14:00:08,2026-06-11,PA-1002,3,53.03,63.6,0.1661,190.8,159.09,31.8,95.4,0.0,0.0,18.77,44.92,159.09,E-commerce,Construtora,CON-00078,MG,Sudeste,FOB (cliente retira/contrata),2.82
11032,PV-483347,2026-06-11 14:00:08,2026-06-11,AC-8010,5,42.43,51.03,0.1686,255.15,212.15,18.9,94.5,0.0,0.0,25.03,92.62,212.15,E-commerce,Construtora,CON-00078,MG,Sudeste,FOB (cliente retira/contrata),4.5
11033,PV-483347,2026-06-11 14:00:08,2026-06-11,SP-6002,6,137.22,172.4,0.2041,1034.4,823.32,86.2,517.2,0.0,0.0,97.15,208.97,823.32,E-commerce,Construtora,CON-00078,MG,Sudeste,FOB (cliente retira/contrata),12.3
11034,PV-483347,2026-06-11 14:00:08,2026-06-11,ND-3001-01,1,90.87,111.89,0.1879,111.89,90.87,50.04,50.04,0.0,0.0,10.72,30.11,90.87,E-commerce,Construtora,CON-00078,MG,Sudeste,FOB (cliente retira/contrata),0.92
11035,PV-483347,2026-06-11 14:00:08,2026-06-11,PA-1011,17,52.78,67.73,0.2207,1151.41,897.26,30.1,511.7,0.0,0.0,105.88,279.68,897.26,E-commerce,Construtora,CON-00078,MG,Sudeste,FOB (cliente retira/contrata),10.37
11036,PV-483347,2026-06-11 14:00:08,2026-06-11,PA-1020,3,66.3,81.69,0.1884,245.07,198.9,38.9,116.7,0.0,0.0,23.47,58.73,198.9,E-commerce,Construtora,CON-00078,MG,Sudeste,FOB (cliente retira/contrata),2.34
11037,PV-483304,2026-06-11 14:00:30,2026-06-11,PA-1020,1,78.47,81.69,0.0394,81.69,78.47,38.9,38.9,38.91,43.16,16.06,27.76,121.63,Televendas,Consumidor Final,CON-01348,SP,Sudeste,CIF (empresa entrega),0.78
11038,PV-483323,2026-06-11 14:05:51,2026-06-11,PA-1002,9,49.92,63.6,0.2152,572.4,449.28,31.8,286.2,0.0,0.0,53.02,110.06,449.28,Representante,Revenda / Distribuidor,REV-00044,MG,Sudeste,FOB (cliente retira/contrata),8.46
11039,PV-483323,2026-06-11 14:05:51,2026-06-11,AC-8010,17,39.44,51.03,0.2272,867.51,670.48,18.9,321.3,0.0,0.0,79.12,270.06,670.48,Representante,Revenda / Distribuidor,REV-00044,MG,Sudeste,FOB (cliente retira/contrata),15.3
11040,PV-483323,2026-06-11 14:05:51,2026-06-11,PA-1010-01,4,56.44,72.07,0.2168,288.28,225.76,30.8,123.2,0.0,0.0,26.64,75.92,225.76,Representante,Revenda / Distribuidor,REV-00044,MG,Sudeste,FOB (cliente retira/contrata),2.2
11041,PV-483323,2026-06-11 14:05:51,2026-06-11,RD-2020,21,25.24,34.04,0.2585,714.84,530.04,14.8,310.8,0.0,0.0,62.54,156.7,530.04,Representante,Revenda / Distribuidor,REV-00044,MG,Sudeste,FOB (cliente retira/contrata),10.92
11042,PV-483354,2026-06-11 14:05:52,2026-06-11,PA-1002,1,61.86,63.6,0.0273,63.6,61.86,31.8,31.8,15.89,16.18,9.21,21.14,78.04,Balcao,Consumidor Final,CON-00178,SC,Sul,CIF (empresa entrega),0.94
11043,PV-483354,2026-06-11 14:05:52,2026-06-11,PA-1002-01,1,73.81,74.09,0.0037,74.09,73.81,35.62,35.62,15.89,16.18,10.62,27.86,89.99,Balcao,Consumidor Final,CON-00178,SC,Sul,CIF (empresa entrega),0.94
11044,PV-483354,2026-06-11 14:05:52,2026-06-11,RD-2002,1,66.9,70.56,0.0519,70.56,66.9,33.6,33.6,26.2,26.68,11.04,22.74,93.58,Balcao,Consumidor Final,CON-00178,SC,Sul,CIF (empresa entrega),1.55
11045,PV-483281,2026-06-11 14:08:20,2026-06-11,RD-2001,104,39.25,52.24,0.2486,5432.96,4082.0,24.3,2527.2,129.26,0.0,538.82,886.72,4082.0,Televendas,Construtora,CON-00049,SP,Sudeste,CIF (empresa entrega),114.4
11046,PV-483281,2026-06-11 14:08:20,2026-06-11,PA-1011,86,50.28,67.73,0.2576,5824.78,4324.08,30.1,2588.6,59.27,0.0,570.78,1105.43,4324.08,Televendas,Construtora,CON-00049,SP,Sudeste,CIF (empresa entrega),52.46
11047,PV-483281,2026-06-11 14:08:20,2026-06-11,PA-1040,34,60.0,76.34,0.2141,2595.56,2040.0,34.7,1179.8,25.35,0.0,269.28,565.57,2040.0,Televendas,Construtora,CON-00049,SP,Sudeste,CIF (empresa entrega),22.44
11048,PV-483281,2026-06-11 14:08:20,2026-06-11,RG-5020,24,82.66,107.64,0.2321,2583.36,1983.84,46.8,1123.2,19.52,0.0,261.87,579.25,1983.84,Televendas,Construtora,CON-00049,SP,Sudeste,CIF (empresa entrega),17.28
11049,PV-483252,2026-06-11 14:09:09,2026-06-11,RG-5010,2,316.32,417.3,0.242,834.6,632.64,214.0,428.0,0.0,0.0,74.65,129.99,632.64,Televendas,Revenda / Distribuidor,REV-00037,MG,Sudeste,FOB (cliente retira/contrata),7.2
11050,PV-483252,2026-06-11 14:09:09,2026-06-11,RG-5002-01,1,301.97,372.67,0.1897,372.67,301.97,174.8,174.8,0.0,0.0,35.63,91.54,301.97,Televendas,Revenda / Distribuidor,REV-00037,MG,Sudeste,FOB (cliente retira/contrata),2.45
11051,PV-483252,2026-06-11 14:09:09,2026-06-11,PA-1002,2,49.76,63.6,0.2176,127.2,99.52,31.8,63.6,0.0,0.0,11.75,24.17,99.52,Televendas,Revenda / Distribuidor,REV-00037,MG,Sudeste,FOB (cliente retira/contrata),1.88
11052,PV-483252,2026-06-11 14:09:09,2026-06-11,RD-2002,3,55.89,70.56,0.2078,211.68,167.67,33.6,100.8,0.0,0.0,19.79,47.08,167.67,Televendas,Revenda / Distribuidor,REV-00037,MG,Sudeste,FOB (cliente retira/contrata),4.65
11053,PV-483252,2026-06-11 14:09:09,2026-06-11,RD-2011-01,8,163.98,203.33,0.1935,1626.64,1311.84,93.1,744.8,0.0,0.0,154.8,412.24,1311.84,Televendas,Revenda / Distribuidor,REV-00037,MG,Sudeste,FOB (cliente retira/contrata),12.96
11054,PV-483252,2026-06-11 14:09:09,2026-06-11,PA-1001-03,4,52.42,66.86,0.2159,267.44,209.68,29.12,116.48,0.0,0.0,24.74,68.46,209.68,Televendas,Revenda / Distribuidor,REV-00037,MG,Sudeste,FOB (cliente retira/contrata),2.48
11055,PV-483330,2026-06-11 14:11:10,2026-06-11,RD-2010,23,99.0,128.12,0.2273,2946.76,2277.0,62.5,1437.5,42.77,0.0,268.69,528.04,2277.0,Televendas,Revenda / Distribuidor,REV-00027,RJ,Sudeste,CIF (empresa entrega),28.52
11056,PV-483330,2026-06-11 14:11:10,2026-06-11,PA-1001,8,34.71,45.92,0.2441,367.36,277.68,22.4,179.2,7.44,0.0,32.77,58.27,277.68,Televendas,Revenda / Distribuidor,REV-00027,RJ,Sudeste,CIF (empresa entrega),4.96
11057,PV-483330,2026-06-11 14:11:10,2026-06-11,PA-1010-01,3,56.45,72.07,0.2168,216.21,169.35,30.8,92.4,2.47,0.0,19.98,54.5,169.35,Televendas,Revenda / Distribuidor,REV-00027,RJ,Sudeste,CIF (empresa entrega),1.65
11058,PV-483330,2026-06-11 14:11:10,2026-06-11,JD-4010,2,203.84,255.3,0.2015,510.6,407.68,138.0,276.0,7.2,0.0,48.11,76.37,407.68,Televendas,Revenda / Distribuidor,REV-00027,RJ,Sudeste,CIF (empresa entrega),4.8
11059,PV-483344,2026-06-11 14:11:33,2026-06-11,RD-2002-01,1,82.95,86.6,0.0421,86.6,82.95,39.65,39.65,58.17,58.92,16.74,27.31,141.87,E-commerce,Consumidor Final,CON-00160,PE,Nordeste,CIF (empresa entrega),1.55
11060,PV-483344,2026-06-11 14:11:33,2026-06-11,ND-3001,1,87.35,89.66,0.0258,89.66,87.35,41.7,41.7,34.52,34.97,14.43,31.67,122.32,E-commerce,Consumidor Final,CON-00160,PE,Nordeste,CIF (empresa entrega),0.92
11061,PV-483293,2026-06-11 14:20:35,2026-06-11,AC-8001,1,90.01,98.43,0.0855,98.43,90.01,38.6,38.6,17.29,19.77,14.49,39.4,109.78,E-commerce,Marmoraria / Instalador,MAR-00143,SP,Sudeste,CIF (empresa entrega),1.2
11062,PV-483293,2026-06-11 14:20:35,2026-06-11,PA-1010-01,3,64.77,72.07,0.1013,216.21,194.31,30.8,92.4,23.78,27.19,29.24,76.08,221.5,E-commerce,Marmoraria / Instalador,MAR-00143,SP,Sudeste,CIF (empresa entrega),1.65
11063,PV-483261,2026-06-11 14:24:04,2026-06-11,JD-4001,4,22.99,29.16,0.2116,116.64,91.96,11.9,47.6,1.58,1.8,12.38,32.2,93.76,Balcao,Revenda / Distribuidor,REV-00053,SP,Sudeste,CIF (empresa entrega),1.12
11064,PV-483261,2026-06-11 14:24:04,2026-06-11,PA-1050-01,3,98.73,126.45,0.2192,379.35,296.19,51.74,155.22,3.01,3.41,39.55,101.82,299.6,Balcao,Revenda / Distribuidor,REV-00053,SP,Sudeste,CIF (empresa entrega),2.13
11065,PV-483261,2026-06-11 14:24:04,2026-06-11,SP-6002,3,136.95,172.4,0.2056,517.2,410.85,86.2,258.6,8.69,9.86,55.53,97.89,420.71,Balcao,Revenda / Distribuidor,REV-00053,SP,Sudeste,CIF (empresa entrega),6.15
11066,PV-483261,2026-06-11 14:24:04,2026-06-11,RD-2001,14,41.29,52.24,0.2097,731.36,578.06,24.3,340.2,21.77,24.68,79.56,161.21,602.74,Balcao,Revenda / Distribuidor,REV-00053,SP,Sudeste,CIF (empresa entrega),15.4
11067,PV-483319,2026-06-11 14:29:16,2026-06-11,PA-1011,2,66.64,67.73,0.0161,135.46,133.28,30.1,60.2,11.39,12.57,17.21,57.05,145.85,E-commerce,Consumidor Final,CON-00179,DF,Centro-Oeste,CIF (empresa entrega),1.22
11068,PV-483319,2026-06-11 14:29:16,2026-06-11,RG-5010,1,411.35,417.3,0.0142,417.3,411.35,214.0,214.0,33.61,37.09,52.92,147.91,448.44,E-commerce,Consumidor Final,CON-00179,DF,Centro-Oeste,CIF (empresa entrega),3.6
11069,PV-483319,2026-06-11 14:29:16,2026-06-11,AC-8010,2,49.5,51.03,0.0301,102.06,99.0,18.9,37.8,16.8,18.55,13.87,49.08,117.55,E-commerce,Consumidor Final,CON-00179,DF,Centro-Oeste,CIF (empresa entrega),1.8
11070,PV-483319,2026-06-11 14:29:16,2026-06-11,RD-2010,1,116.45,128.12,0.0911,128.12,116.45,62.5,62.5,11.58,12.78,15.25,39.9,129.23,E-commerce,Consumidor Final,CON-00179,DF,Centro-Oeste,CIF (empresa entrega),1.24
11071,PV-483310,2026-06-11 14:32:53,2026-06-11,RG-5020,1,85.38,107.64,0.2068,107.64,85.38,46.8,46.8,4.04,4.68,10.63,28.59,90.06,Representante,Construtora,CON-00037,SC,Sul,CIF (empresa entrega),0.72
11072,PV-483310,2026-06-11 14:32:53,2026-06-11,RD-2011-01,1,169.91,203.33,0.1644,203.33,169.91,93.1,93.1,9.09,10.53,21.29,56.96,180.44,Representante,Construtora,CON-00037,SC,Sul,CIF (empresa entrega),1.62
11073,PV-483310,2026-06-11 14:32:53,2026-06-11,ND-3001,10,75.11,89.66,0.1623,896.6,751.1,41.7,417.0,51.64,59.82,95.69,246.59,810.92,Representante,Construtora,CON-00037,SC,Sul,CIF (empresa entrega),9.2
11074,PV-483352,2026-06-11 14:33:03,2026-06-11,PA-1011,1,67.32,67.73,0.0061,67.73,67.32,30.1,30.1,12.93,15.06,9.72,29.63,82.38,E-commerce,Consumidor Final,CON-01134,PR,Sul,CIF (empresa entrega),0.61
11075,PV-483352,2026-06-11 14:33:03,2026-06-11,PA-1050,1,108.57,108.57,0.0,108.57,108.57,46.2,46.2,15.05,17.53,14.88,49.97,126.1,E-commerce,Consumidor Final,CON-01134,PR,Sul,CIF (empresa entrega),0.71
11076,PV-483353,2026-06-11 14:36:35,2026-06-11,RG-5020,4,86.31,107.64,0.1982,430.56,345.24,46.8,187.2,6.31,7.56,46.57,112.72,352.8,Balcao,Revenda / Distribuidor,REV-00019,SP,Sudeste,CIF (empresa entrega),2.88
11077,PV-483353,2026-06-11 14:36:35,2026-06-11,RD-2010,7,101.04,128.12,0.2113,896.84,707.28,62.5,437.5,19.03,22.79,96.37,177.17,730.07,Balcao,Revenda / Distribuidor,REV-00019,SP,Sudeste,CIF (empresa entrega),8.68
11078,PV-483353,2026-06-11 14:36:35,2026-06-11,PA-1020,4,64.21,81.69,0.214,326.76,256.84,38.9,155.6,6.84,8.19,34.98,67.61,265.03,Balcao,Revenda / Distribuidor,REV-00019,SP,Sudeste,CIF (empresa entrega),3.12
11079,PV-483353,2026-06-11 14:36:35,2026-06-11,PA-1010-01,4,55.0,72.07,0.2368,288.28,220.0,30.8,123.2,4.82,5.78,29.8,67.96,225.78,Balcao,Revenda / Distribuidor,REV-00019,SP,Sudeste,CIF (empresa entrega),2.2
11080,PV-483260,2026-06-11 14:53:42,2026-06-11,RD-2001,158,37.37,52.24,0.2846,8253.92,5904.46,24.3,3839.4,0.0,0.0,779.39,1285.67,5904.46,Representante,Construtora,CON-00039,SP,Sudeste,FOB (cliente retira/contrata),173.8
11081,PV-483260,2026-06-11 14:53:42,2026-06-11,JD-4001-02,18,26.86,34.0,0.2099,612.0,483.48,12.85,231.3,0.0,0.0,63.82,188.36,483.48,Representante,Construtora,CON-00039,SP,Sudeste,FOB (cliente retira/contrata),5.04
11082,PV-483260,2026-06-11 14:53:42,2026-06-11,PA-1011-02,33,64.65,89.23,0.2755,2944.59,2133.45,36.72,1211.76,0.0,0.0,281.62,640.07,2133.45,Representante,Construtora,CON-00039,SP,Sudeste,FOB (cliente retira/contrata),20.13
11083,PV-483260,2026-06-11 14:53:42,2026-06-11,PA-1010,34,47.46,61.88,0.233,2103.92,1613.64,27.5,935.0,0.0,0.0,213.0,465.64,1613.64,Representante,Construtora,CON-00039,SP,Sudeste,FOB (cliente retira/contrata),18.7
11084,PV-483260,2026-06-11 14:53:42,2026-06-11,ND-3002,55,105.58,138.17,0.2359,7599.35,5806.9,67.4,3707.0,0.0,0.0,766.51,1333.39,5806.9,Representante,Construtora,CON-00039,SP,Sudeste,FOB (cliente retira/contrata),70.4
11085,PV-483260,2026-06-11 14:53:42,2026-06-11,PA-1040,39,59.1,76.34,0.2259,2977.26,2304.9,34.7,1353.3,0.0,0.0,304.25,647.35,2304.9,Representante,Construtora,CON-00039,SP,Sudeste,FOB (cliente retira/contrata),25.74
11086,PV-483260,2026-06-11 14:53:42,2026-06-11,RD-2002,43,52.08,70.56,0.2619,3034.08,2239.44,33.6,1444.8,0.0,0.0,295.61,499.03,2239.44,Representante,Construtora,CON-00039,SP,Sudeste,FOB (cliente retira/contrata),66.65
11087,PV-483260,2026-06-11 14:53:42,2026-06-11,PX-7002-01,1,171.62,214.44,0.1997,214.44,171.62,89.65,89.65,0.0,0.0,22.65,59.32,171.62,Representante,Construtora,CON-00039,SP,Sudeste,FOB (cliente retira/contrata),1.55
11088,PV-483262,2026-06-11 14:54:34,2026-06-11,PA-1050,1,99.18,108.57,0.0865,108.57,99.18,46.2,46.2,21.19,22.09,16.01,37.87,121.27,E-commerce,Marmoraria / Instalador,MAR-00152,SP,Sudeste,CIF (empresa entrega),0.71
11089,PV-483262,2026-06-11 14:54:34,2026-06-11,JD-4001,2,27.29,29.16,0.0642,58.32,54.58,11.9,23.8,16.72,17.43,9.51,21.98,72.01,E-commerce,Marmoraria / Instalador,MAR-00152,SP,Sudeste,CIF (empresa entrega),0.56
11090,PV-483257,2026-06-11 14:58:28,2026-06-11,AC-8002,3,127.82,156.0,0.1807,468.0,383.46,62.4,187.2,12.8,13.71,46.87,150.3,397.17,Balcao,Construtora,CON-00031,MG,Sudeste,CIF (empresa entrega),6.3
11091,PV-483257,2026-06-11 14:58:28,2026-06-11,AC-8010,9,41.66,51.03,0.1837,459.27,374.94,18.9,170.1,16.46,17.62,46.32,159.68,392.56,Balcao,Construtora,CON-00031,MG,Sudeste,CIF (empresa entrega),8.1
11092,PV-483257,2026-06-11 14:58:28,2026-06-11,RG-5002,1,256.47,311.6,0.1769,311.6,256.47,152.0,152.0,4.98,5.33,30.89,73.93,261.8,Balcao,Construtora,CON-00031,MG,Sudeste,CIF (empresa entrega),2.45
11093,PV-483257,2026-06-11 14:58:28,2026-06-11,PA-1040,14,64.59,76.34,0.1539,1068.76,904.26,34.7,485.8,18.77,20.1,109.07,310.72,924.36,Balcao,Construtora,CON-00031,MG,Sudeste,CIF (empresa entrega),9.24
11094,PV-483349,2026-06-11 15:00:42,2026-06-11,RD-2010,1,108.84,128.12,0.1505,128.12,108.84,62.5,62.5,10.56,12.48,14.32,33.94,121.32,Representante,Marmoraria / Instalador,MAR-00108,SC,Sul,CIF (empresa entrega),1.24
11095,PV-483349,2026-06-11 15:00:42,2026-06-11,PA-1001-02,1,56.75,60.51,0.0621,60.51,56.75,27.33,27.33,5.28,6.24,7.43,22.95,62.99,Representante,Marmoraria / Instalador,MAR-00108,SC,Sul,CIF (empresa entrega),0.62
11096,PV-483349,2026-06-11 15:00:42,2026-06-11,JD-4001,6,26.43,29.16,0.0937,174.96,158.58,11.9,71.4,14.3,16.91,20.71,69.08,175.49,Representante,Marmoraria / Instalador,MAR-00108,SC,Sul,CIF (empresa entrega),1.68
11097,PV-483349,2026-06-11 15:00:42,2026-06-11,PA-1011,7,60.86,67.73,0.1014,474.11,426.02,30.1,210.7,36.35,42.98,55.34,166.61,469.0,Representante,Marmoraria / Instalador,MAR-00108,SC,Sul,CIF (empresa entrega),4.27
11098,PV-483254,2026-06-11 15:03:53,2026-06-11,RD-2002-03,1,85.99,106.69,0.194,106.69,85.99,45.36,45.36,0.0,0.0,10.15,30.48,85.99,Balcao,Revenda / Distribuidor,REV-00052,BA,Nordeste,FOB (cliente retira/contrata),1.55
11099,PV-483254,2026-06-11 15:03:53,2026-06-11,ND-3002,12,107.13,138.17,0.2247,1658.04,1285.56,67.4,808.8,0.0,0.0,151.7,325.06,1285.56,Balcao,Revenda / Distribuidor,REV-00052,BA,Nordeste,FOB (cliente retira/contrata),15.36
11100,PV-483292,2026-06-11 15:04:59,2026-06-11,PA-1020-01,1,92.97,95.16,0.023,95.16,92.97,43.57,43.57,14.44,14.98,14.25,35.69,107.95,Balcao,Consumidor Final,CON-01175,SP,Sudeste,CIF (empresa entrega),0.78
11101,PV-483292,2026-06-11 15:04:59,2026-06-11,PA-1002,1,62.45,63.6,0.0181,63.6,62.45,31.8,31.8,17.4,18.06,10.63,20.68,80.51,Balcao,Consumidor Final,CON-01175,SP,Sudeste,CIF (empresa entrega),0.94
11102,PV-483292,2026-06-11 15:04:59,2026-06-11,PA-1011,1,66.48,67.73,0.0185,67.73,66.48,30.1,30.1,11.29,11.72,10.32,26.49,78.2,Balcao,Consumidor Final,CON-01175,SP,Sudeste,CIF (empresa entrega),0.61
11103,PV-483313,2026-06-11 15:07:29,2026-06-11,PA-1011,4,56.41,67.73,0.1672,270.92,225.64,30.1,120.4,0.0,0.0,29.78,75.46,225.64,Representante,Construtora,CON-00025,SP,Sudeste,FOB (cliente retira/contrata),2.44
11104,PV-483313,2026-06-11 15:07:29,2026-06-11,PA-1020-03,1,106.34,118.94,0.106,118.94,106.34,50.57,50.57,0.0,0.0,14.04,41.73,106.34,Representante,Construtora,CON-00025,SP,Sudeste,FOB (cliente retira/contrata),0.78
11105,PV-483313,2026-06-11 15:07:29,2026-06-11,RG-5020-01,1,110.02,128.74,0.1454,128.74,110.02,53.82,53.82,0.0,0.0,14.52,41.68,110.02,Representante,Construtora,CON-00025,SP,Sudeste,FOB (cliente retira/contrata),0.72
11106,PV-483313,2026-06-11 15:07:29,2026-06-11,AC-8001,6,82.5,98.43,0.1618,590.58,495.0,38.6,231.6,0.0,0.0,65.34,198.06,495.0,Representante,Construtora,CON-00025,SP,Sudeste,FOB (cliente retira/contrata),7.2
11107,PV-483317,2026-06-11 15:10:25,2026-06-11,JD-4001,5,26.63,29.16,0.0869,145.8,133.15,11.9,59.5,2.78,2.96,17.97,55.86,136.11,Televendas,Marmoraria / Instalador,MAR-00214,SP,Sudeste,CIF (empresa entrega),1.4
11108,PV-483317,2026-06-11 15:10:25,2026-06-11,AC-8001,1,95.16,98.43,0.0332,98.43,95.16,38.6,38.6,2.38,2.54,12.9,43.82,97.7,Televendas,Marmoraria / Instalador,MAR-00214,SP,Sudeste,CIF (empresa entrega),1.2
11109,PV-483317,2026-06-11 15:10:25,2026-06-11,PA-1020-01,1,87.32,95.16,0.0823,95.16,87.32,43.57,43.57,1.55,1.65,11.74,32.11,88.97,Televendas,Marmoraria / Instalador,MAR-00214,SP,Sudeste,CIF (empresa entrega),0.78
11110,PV-483317,2026-06-11 15:10:25,2026-06-11,PA-1001,5,39.37,45.92,0.1427,229.6,196.85,22.4,112.0,6.16,6.55,26.85,58.39,203.4,Televendas,Marmoraria / Instalador,MAR-00214,SP,Sudeste,CIF (empresa entrega),3.1
11111,PV-483317,2026-06-11 15:10:25,2026-06-11,RG-5001,1,225.8,241.9,0.0665,241.9,225.8,118.0,118.0,3.68,3.91,30.32,77.71,229.71,Televendas,Marmoraria / Instalador,MAR-00214,SP,Sudeste,CIF (empresa entrega),1.85
11112,PV-483317,2026-06-11 15:10:25,2026-06-11,RD-2020,3,29.76,34.04,0.1258,102.12,89.28,14.8,44.4,3.1,3.3,12.22,32.86,92.58,Televendas,Marmoraria / Instalador,MAR-00214,SP,Sudeste,CIF (empresa entrega),1.56
11113,PV-483317,2026-06-11 15:10:25,2026-06-11,RD-2010,4,118.08,128.12,0.0783,512.48,472.32,62.5,250.0,9.85,10.48,63.73,159.22,482.8,Televendas,Marmoraria / Instalador,MAR-00214,SP,Sudeste,CIF (empresa entrega),4.96
